Station,YearTime,NO2
Spain-ES1172A2,1995,775.669
Spain-ES1172A2,1996,775.669
Spain-ES1172A2,1997,775.669
Spain-ES1172A2,1998,775.669
Spain-ES1172A2,1999,775.669
Spain-ES1172A2,2000,775.669
Spain-ES1172A2,2001,775.669
Spain-ES1172A2,2002,775.669
Spain-ES1172A2,2003,775.669
Spain-ES1172A2,2004,775.669
Spain-ES1172A2,2005,775.669
Spain-ES1172A2,2006,775.669
Spain-ES1172A2,2008,775.669
Spain-ES1172A2,2007,775.669
Spain-ES1172A2,2009,775.669
Spain-ES1172A2,2010,775.669
Spain-ES1172A2,2011,780.794
Spain-ES1172A2,2012,785.954
Spain-ES1172A2,2013,791.147
Spain-ES1172A2,2014,796.375
Spain-ES1172A2,2015,801.637
France-FR04037,1990,538.376
France-FR04037,1991,538.376
France-FR04037,1992,538.376
France-FR04037,1993,538.376
France-FR04037,1994,538.376
France-FR04037,1995,538.376
France-FR04037,1996,538.376
France-FR04037,1997,538.376
France-FR04037,1998,538.376
France-FR04037,1999,538.376
France-FR04037,2000,538.376
France-FR04037,2001,538.376
France-FR04037,2002,538.376
France-FR04037,2003,538.376
France-FR04037,2004,538.376
France-FR04037,2005,538.376
France-FR04037,2006,538.376
France-FR04037,2008,538.376
France-FR04037,2007,538.376
France-FR04037,2009,538.376
France-FR04037,2010,538.376
France-FR04037,2011,541.934
France-FR04037,2012,545.515
France-FR04037,2013,549.119
France-FR04037,2014,552.748
France-FR04037,2015,556.400
UK-GB0750A,1990,871.625
UK-GB0750A,1991,871.625
UK-GB0750A,1992,871.625
UK-GB0750A,1993,871.625
UK-GB0750A,1994,871.625
UK-GB0750A,1995,871.625
UK-GB0750A,1996,871.625
UK-GB0750A,1997,871.625
UK-GB0750A,1998,871.625
UK-GB0750A,1999,871.625
UK-GB0750A,2000,871.625
UK-GB0750A,2001,871.625
UK-GB0750A,2002,871.625
UK-GB0750A,2003,871.625
UK-GB0750A,2004,871.625
UK-GB0750A,2005,871.625
UK-GB0750A,2006,871.625
UK-GB0750A,2008,871.625
UK-GB0750A,2007,871.625
UK-GB0750A,2009,871.625
UK-GB0750A,2010,871.625
UK-GB0750A,2011,883.939
UK-GB0750A,2012,896.426
UK-GB0750A,2013,909.090
UK-GB0750A,2014,921.932
UK-GB0750A,2015,934.956
Hungary-HU0055A,1990,378.403
Hungary-HU0055A,1991,378.403
Hungary-HU0055A,1992,378.403
Hungary-HU0055A,1993,378.403
Hungary-HU0055A,1994,378.403
Hungary-HU0055A,1995,378.403
Hungary-HU0055A,1996,378.403
Hungary-HU0055A,1997,378.403
Hungary-HU0055A,1998,378.403
Hungary-HU0055A,1999,378.403
Hungary-HU0055A,2000,378.403
Hungary-HU0055A,2001,378.403
Hungary-HU0055A,2002,378.403
Hungary-HU0055A,2003,378.403
Hungary-HU0055A,2004,378.403
Hungary-HU0055A,2005,378.403
Hungary-HU0055A,2006,378.403
Hungary-HU0055A,2008,378.403
Hungary-HU0055A,2007,378.403
Hungary-HU0055A,2009,378.403
Hungary-HU0055A,2010,378.403
Hungary-HU0055A,2011,379.806
Hungary-HU0055A,2012,381.214
Hungary-HU0055A,2013,382.627
Hungary-HU0055A,2014,384.045
Hungary-HU0055A,2015,385.469
Ireland-IE0110A,1990,575.855
Ireland-IE0110A,1991,575.855
Ireland-IE0110A,1992,575.855
Ireland-IE0110A,1993,575.855
Ireland-IE0110A,1994,575.855
Ireland-IE0110A,1995,575.855
Ireland-IE0110A,1996,575.855
Ireland-IE0110A,1997,575.855
Ireland-IE0110A,1998,575.855
Ireland-IE0110A,1999,575.855
Ireland-IE0110A,2000,575.855
Ireland-IE0110A,2001,575.855
Ireland-IE0110A,2002,575.855
Ireland-IE0110A,2003,575.855
Ireland-IE0110A,2004,575.855
Ireland-IE0110A,2005,575.855
Ireland-IE0110A,2006,575.855
Ireland-IE0110A,2008,575.855
Ireland-IE0110A,2007,575.855
Ireland-IE0110A,2009,575.855
Ireland-IE0110A,2010,575.855
Ireland-IE0110A,2011,579.197
Ireland-IE0110A,2012,583.490
Ireland-IE0110A,2013,587.346
Ireland-IE0110A,2014,591.227
Ireland-IE0110A,2015,595.134
Australia-AU110AE,1990,671.478
Australia-AU110AE,1991,672.926
Australia-AU110AE,1992,179.377
Australia-AU110AE,1993,675.831
Australia-AU110AE,1994,677.288
Australia-AU110AE,1995,678.748
Australia-AU110AE,1996,680.211
Australia-AU110AE,1997,681.678
Australia-AU110AE,1998,683.148
Australia-AU110AE,1999,684.620
Australia-AU110AE,2000,686.097
Australia-AU110AE,2001,687.576
Australia-AU110AE,2002,689.058
Australia-AU110AE,2003,690.544
Australia-AU110AE,2004,692.033
Australia-AU110AE,2005,693.525
Australia-AU110AE,2006,695.020
Australia-AU110AE,2008,696.518
Australia-AU110AE,2007,698.020
Australia-AU110AE,2009,699.525
Australia-AU110AE,2010,701.033
Australia-AU110AE,2011,707.387
Australia-AU110AE,2012,728.142
Australia-AU110AE,2013,752.825
Australia-AU110AE,2014,794.942
Australia-AU110AE,2015,833.199
Azerbaijan-AZ09I8E,1990,477.153
Azerbaijan-AZ09I8E,1991,477.202
Azerbaijan-AZ09I8E,1992,477.250
Azerbaijan-AZ09I8E,1993,477.299
Azerbaijan-AZ09I8E,1994,477.348
Azerbaijan-AZ09I8E,1995,477.397
Azerbaijan-AZ09I8E,1996,477.445
Azerbaijan-AZ09I8E,1997,477.494
Azerbaijan-AZ09I8E,1998,477.543
Azerbaijan-AZ09I8E,1999,477.592
Azerbaijan-AZ09I8E,2000,477.641
Azerbaijan-AZ09I8E,2001,477.690
Azerbaijan-AZ09I8E,2002,477.738
Azerbaijan-AZ09I8E,2003,477.787
Azerbaijan-AZ09I8E,2004,477.836
Azerbaijan-AZ09I8E,2005,477.885
Azerbaijan-AZ09I8E,2006,477.934
Azerbaijan-AZ09I8E,2008,477.983
Azerbaijan-AZ09I8E,2007,478.031
Azerbaijan-AZ09I8E,2009,478.080
Azerbaijan-AZ09I8E,2010,478.129
Azerbaijan-AZ09I8E,2011,480.705
Azerbaijan-AZ09I8E,2012,483.294
Azerbaijan-AZ09I8E,2013,485.898
Azerbaijan-AZ09I8E,2014,488.516
Azerbaijan-AZ09I8E,2015,491.147
Bahamas-BA05AB,1990,1409.189
Bahamas-BA05AB,1991,1409.189
Bahamas-BA05AB,1992,1409.189
Bahamas-BA05AB,1993,1409.189
Bahamas-BA05AB,1994,1409.189
Bahamas-BA05AB,1995,1409.189
Bahamas-BA05AB,1996,1409.189
Bahamas-BA05AB,1997,1409.189
Bahamas-BA05AB,1998,1409.189
Bahamas-BA05AB,1999,1409.189
Bahamas-BA05AB,2000,1409.189
Bahamas-BA05AB,2001,1409.189
Bahamas-BA05AB,2002,1409.189
Bahamas-BA05AB,2003,1409.189
Bahamas-BA05AB,2004,1409.189
Bahamas-BA05AB,2005,1409.189
Bahamas-BA05AB,2006,1409.189
Bahamas-BA05AB,2008,1409.189
Bahamas-BA05AB,2007,1409.189
Bahamas-BA05AB,2009,1409.189
Bahamas-BA05AB,2010,1409.189
Bahamas-BA05AB,2011,1418.500
Bahamas-BA05AB,2012,1427.874
Bahamas-BA05AB,2013,1437.309
Bahamas-BA05AB,2014,1446.806
Bahamas-BA05AB,2015,1456.366
Barbados-BE01AES,1990,1017.814
Barbados-BE01AES,1991,1017.814
Barbados-BE01AES,1992,1017.814
Barbados-BE01AES,1993,1017.814
Barbados-BE01AES,1994,1017.814
Barbados-BE01AES,1995,1017.814
Barbados-BE01AES,1996,1017.814
Barbados-BE01AES,1997,1017.814
Barbados-BE01AES,1998,1017.814
Barbados-BE01AES,1999,1017.814
Barbados-BE01AES,2000,1017.814
Barbados-BE01AES,2001,1017.814
Barbados-BE01AES,2002,1017.814
Barbados-BE01AES,2003,1017.814
Barbados-BE01AES,2004,1017.814
Barbados-BE01AES,2005,1017.814
Barbados-BE01AES,2006,1017.814
Barbados-BE01AES,2008,1017.814
Barbados-BE01AES,2007,1017.814
Barbados-BE01AES,2009,1017.814
Barbados-BE01AES,2010,1017.814
Barbados-BE01AES,2011,1024.540
Barbados-BE01AES,2012,1031.310
Barbados-BE01AES,2013,1038.124
Barbados-BE01AES,2014,1044.984
Barbados-BE01AES,2015,1051.889
Barbados-BE01AES,1990,1058.840
Barbados-BE01AES,1990,1065.836
Barbados-BE01AES,1990,1072.879
Barbados-BE01AES,1990,1079.969
Barbados-BE01AES,1990,1087.105
Barbados-BE01AES,1990,1094.288
Barbados-BE01AES,1990,1101.519
Barbados-BE01AES,1990,1108.798
Barbados-BE01AES,1990,1116.125
Barbados-BE01AES,1990,1123.500
Barbados-BE01AES,1990,1130.924
Barbados-BE01AES,1990,1138.397
Barbados-BE01AES,1990,1145.919
Barbados-BE01AES,1990,1153.491
Barbados-BE01AES,1990,1119.113
Barbados-BE01AES,1990,1168.785
Barbados-BE01AES,1990,1176.509
Barbados-BE01AES,1990,1184.283
Barbados-BE01AES,1990,1192.108
Barbados-BE01AES,1990,1199.985
Barbados-BE01AES,1990,1207.915
Barbados-BE01AES,1990,1215.896
Barbados-BE01AES,1990,1223.931
Barbados-BE01AES,1849,1232.018
Barbados-BE01AES,1850,1240.159
Barbados-BE01AES,1851,1248.354
Barbados-BE01AES,1852,1256.173
Barbados-BE01AES,1853,1264.906
Barbados-BE01AES,1854,1273.265
Barbados-BE01AES,1855,1281.678
Barbados-BE01AES,1856,1290.147
Barbados-BE01AES,1857,1298.672
Barbados-BE01AES,1858,1307.254
Barbados-BE01AES,1859,1315.892
Barbados-BE01AES,1817,1324.587
Barbados-BE01AES,1819,1333.340
Barbados-BE01AES,1862,1342.150
Barbados-BE01AES,1863,1351.019
Barbados-BE01AES,1864,1359.946
Barbados-BE01AES,1865,1368.932
Barbados-BE01AES,1866,1377.978
Barbados-BE01AES,1867,1387.084
Barbados-BE01AES,1868,1396.249
Barbados-BE01AES,1869,1405.475
Barbados-BE01AES,1870,1414.763
Barbados-BE01AES,1871,1424.111
Barbados-BE01AES,1872,1433.521
Barbados-BE01AES,1873,1442.994
Barbados-BE01AES,1874,1452.529
Barbados-BE01AES,1875,1462.127
Barbados-BE01AES,1876,1471.788
Barbados-BE01AES,1877,1481.514
Barbados-BE01AES,1878,1491.303
Barbados-BE01AES,1879,1501.158
Barbados-BE01AES,1880,1511.077
Barbados-BE01AES,1881,1521.062
Barbados-BE01AES,1882,1531.113
Barbados-BE01AES,1883,1541.230
Barbados-BE01AES,1884,1551.414
Barbados-BE01AES,1885,1519.666
Barbados-BE01AES,1886,1571.985
Barbados-BE01AES,1887,1582.372
Barbados-BE01AES,1888,1592.828
Barbados-BE01AES,1889,1173.354
Barbados-BE01AES,1890,1193.948
Barbados-BE01AES,1891,1624.193
Barbados-BE01AES,1892,1635.348
Barbados-BE01AES,1893,1646.154
Barbados-BE01AES,1894,1657.032
Barbados-BE01AES,1895,1667.981
Barbados-BE01AES,1896,1679.003
Barbados-BE01AES,1897,1690.097
Barbados-BE01AES,1898,1701.265
Barbados-BE01AES,1899,1712.507
Barbados-BE01AES,1900,1723.823
Barbados-BE01AES,1901,1735.214
Barbados-BE01AES,1902,1746.679
Barbados-BE01AES,1903,1758.221
Barbados-BE01AES,1904,1769.839
Barbados-BE01AES,1905,1781.534
Barbados-BE01AES,1906,1793.306
Barbados-BE01AES,1907,1995.156
Barbados-BE01AES,1908,2008.084
Barbados-BE01AES,1909,1990.091
Barbados-BE01AES,1910,1990.177
Barbados-BE01AES,1911,1853.344
Barbados-BE01AES,1912,1865.590
Barbados-BE01AES,1913,1877.918
Barbados-BE01AES,1914,1905.885
Barbados-BE01AES,1915,1934.269
Barbados-BE01AES,1916,1963.076
Barbados-BE01AES,1917,1992.312
Barbados-BE01AES,1918,2021.984
Barbados-BE01AES,1919,2052.097
Barbados-BE01AES,1920,2082.658
Barbados-BE01AES,1921,2113.675
Barbados-BE01AES,1922,2145.154
Barbados-BE01AES,1923,2177.102
Barbados-BE01AES,1924,2209.525
Barbados-BE01AES,1925,2242.431
Barbados-BE01AES,1926,2275.827
Barbados-BE01AES,1927,2309.721
Barbados-BE01AES,1928,2344.120
Barbados-BE01AES,1929,2379.030
Barbados-BE01AES,1930,2414.419
Barbados-BE01AES,1931,2450.419
Barbados-BE01AES,1932,2486.913
Barbados-BE01AES,1933,2523.950
Barbados-BE01AES,1934,2519.539
Barbados-BE01AES,1935,2599.688
Barbados-BE01AES,1936,2638.405
Barbados-BE01AES,1937,2677.699
Barbados-BE01AES,1938,2717.577
Barbados-BE01AES,1939,2758.050
Barbados-BE01AES,1940,2799.125
Barbados-BE01AES,1941,2840.812
Barbados-BE01AES,1942,2883.120
Barbados-BE01AES,1943,2926.058
Barbados-BE01AES,1944,2969.636
Barbados-BE01AES,1945,3013.862
Barbados-BE01AES,1946,3058.747
Barbados-BE01AES,1947,3104.301
Barbados-BE01AES,1948,3150.533
Barbados-BE01AES,1949,3197.454
Barbados-BE01AES,1950,3245.073
Barbados-BE01AES,1951,3409.503
Barbados-BE01AES,1952,3582.264
Barbados-BE01AES,1953,3763.780
Barbados-BE01AES,1954,3954.493
Barbados-BE01AES,1955,4154.869
Barbados-BE01AES,1956,4365.399
Barbados-BE01AES,1957,4586.597
Barbados-BE01AES,1958,4819.002
Barbados-BE01AES,1959,5063.184
Barbados-BE01AES,1917,5319.739
Barbados-BE01AES,1919,5711.593
Barbados-BE01AES,1962,6204.489
Barbados-BE01AES,1963,5863.174
Barbados-BE01AES,1964,1930.215
Barbados-BE01AES,1965,6806.043
Barbados-BE01AES,1966,7057.569
Barbados-BE01AES,1967,7788.544
Barbados-BE01AES,1968,8306.964
Barbados-BE01AES,1969,8904.399
Barbados-BE01AES,1970,9712.476
Barbados-BE01AES,1971,9814.377
Barbados-BE01AES,1972,9853.806
Barbados-BE01AES,1973,9990.789
Barbados-BE01AES,1974,11268.719
Barbados-BE01AES,1975,10983.924
Barbados-BE01AES,1976,11414.776
Barbados-BE01AES,1977,12008.356
Barbados-BE01AES,1978,12375.141
Barbados-BE01AES,1979,13301.417
Barbados-BE01AES,1980,13858.898
Barbados-BE01AES,1981,13504.662
Barbados-BE01AES,1982,12736.472
Barbados-BE01AES,1983,12679.082
Barbados-BE01AES,1984,13003.273
Barbados-BE01AES,1985,13020.581
Barbados-BE01AES,1986,13517.564
Barbados-BE01AES,1987,13783.209
Barbados-BE01AES,1988,14140.093
Barbados-BE01AES,1989,14528.018
Barbados-BE01AES,1990,13954.777
Barbados-BE01AES,1991,13293.897
Barbados-BE01AES,1992,12263.453
Barbados-BE01AES,1993,12299.755
Barbados-BE01AES,1994,12736.755
Barbados-BE01AES,1995,13009.356
Barbados-BE01AES,1996,13356.077
Barbados-BE01AES,1997,13901.909
Barbados-BE01AES,1998,14702.321
Barbados-BE01AES,1999,14710.964
Barbados-BE01AES,2000,14982.123
Barbados-BE01AES,2001,14533.643
Barbados-BE01AES,2002,14544.493
Barbados-BE01AES,2003,14779.731
Barbados-BE01AES,2004,15268.126
Barbados-BE01AES,2005,15837.000
Barbados-BE01AES,2006,16703.593
Barbados-BE01AES,2007,16938.206
Barbados-BE01AES,2008,16959.901
Barbados-BE01AES,2009,16226.014
Barbados-BE01AES,2010,16223.531
Barbados-BE01AES,2011,16273.996
Barbados-BE01AES,2012,16233.414
Barbados-BE01AES,2013,16273.896
Barbados-BE01AES,2014,16395.643
Barbados-BE01AES,2015,11970.078
Barbados-BE01AES,2016,16889.858
Barbados-BE01AES,2017,17218.385
Barbados-BE01AES,2018,17587.658
Turkey-TR9A83E,1990,510.550
Turkey-TR9A83E,1991,510.749
Turkey-TR9A83E,1992,510.948
Turkey-TR9A83E,1993,511.148
Turkey-TR9A83E,1994,511.347
Turkey-TR9A83E,1995,511.547
Turkey-TR9A83E,1996,511.747
Turkey-TR9A83E,1997,511.946
Turkey-TR9A83E,1998,512.146
Turkey-TR9A83E,1999,512.346
Turkey-TR9A83E,2000,512.546
Turkey-TR9A83E,2001,512.746
Turkey-TR9A83E,2002,512.947
Turkey-TR9A83E,2003,513.147
Turkey-TR9A83E,2004,513.347
Turkey-TR9A83E,2005,513.547
Turkey-TR9A83E,2006,513.748
Turkey-TR9A83E,2008,513.949
Turkey-TR9A83E,2007,514.149
Turkey-TR9A83E,2009,514.350
Turkey-TR9A83E,2010,514.551
Turkey-TR9A83E,2011,517.472
Turkey-TR9A83E,2012,520.409
Turkey-TR9A83E,2013,523.364
Turkey-TR9A83E,2014,526.335
Turkey-TR9A83E,2015,529.323
Italy-IT2A5RE,1990,542.968
Italy-IT2A5RE,1991,542.968
Italy-IT2A5RE,1992,542.968
Italy-IT2A5RE,1993,542.968
Italy-IT2A5RE,1994,542.968
Italy-IT2A5RE,1995,542.968
Italy-IT2A5RE,1996,542.968
Italy-IT2A5RE,1997,542.968
Italy-IT2A5RE,1998,542.968
Italy-IT2A5RE,1999,542.968
Italy-IT2A5RE,2000,542.968
Italy-IT2A5RE,2001,542.968
Italy-IT2A5RE,2002,542.968
Italy-IT2A5RE,2003,542.968
Italy-IT2A5RE,2004,542.968
Italy-IT2A5RE,2005,542.968
Italy-IT2A5RE,2006,542.968
Italy-IT2A5RE,2008,542.968
Italy-IT2A5RE,2007,542.968
Italy-IT2A5RE,2009,542.968
Italy-IT2A5RE,2010,542.968
Italy-IT2A5RE,2011,546.556
Italy-IT2A5RE,2012,550.167
Italy-IT2A5RE,2013,553.803
Italy-IT2A5RE,2014,557.462
Italy-IT2A5RE,2015,519.146
Netherlands-NL5RSTE,1990,553.718
Netherlands-NL5RSTE,1991,553.718
Netherlands-NL5RSTE,1992,553.718
Netherlands-NL5RSTE,1993,553.718
Netherlands-NL5RSTE,1994,553.718
Netherlands-NL5RSTE,1995,553.718
Netherlands-NL5RSTE,1996,553.718
Netherlands-NL5RSTE,1997,553.718
Netherlands-NL5RSTE,1998,553.718
Netherlands-NL5RSTE,1999,553.718
Netherlands-NL5RSTE,2000,553.718
Netherlands-NL5RSTE,2001,553.718
Netherlands-NL5RSTE,2002,553.718
Netherlands-NL5RSTE,2003,553.718
Netherlands-NL5RSTE,2004,553.718
Netherlands-NL5RSTE,2005,553.718
Netherlands-NL5RSTE,2006,553.718
Netherlands-NL5RSTE,2008,553.718
Netherlands-NL5RSTE,2007,553.718
Netherlands-NL5RSTE,2009,553.718
Netherlands-NL5RSTE,2010,553.718
Netherlands-NL5RSTE,2011,556.315
Netherlands-NL5RSTE,2012,558.923
Netherlands-NL5RSTE,2013,519.544
Netherlands-NL5RSTE,2014,564.177
Netherlands-NL5RSTE,2015,566.823
Norway-NO009AN,1990,1667.688
Norway-NO009AN,1991,1667.688
Norway-NO009AN,1992,1667.688
Norway-NO009AN,1993,1667.688
Norway-NO009AN,1994,1667.688
Norway-NO009AN,1995,1667.688
Norway-NO009AN,1996,1667.688
Norway-NO009AN,1997,1667.688
Norway-NO009AN,1998,1667.688
Norway-NO009AN,1999,1667.688
Norway-NO009AN,2000,1667.688
Norway-NO009AN,2001,1667.688
Norway-NO009AN,2002,1667.688
Norway-NO009AN,2003,1667.688
Norway-NO009AN,2004,1667.688
Norway-NO009AN,2005,1667.688
Norway-NO009AN,2006,1667.688
Norway-NO009AN,2008,1667.688
Norway-NO009AN,2007,1667.688
Norway-NO009AN,2009,1667.688
Norway-NO009AN,2010,1667.688
Norway-NO009AN,2011,1678.708
Norway-NO009AN,2012,1689.800
Norway-NO009AN,2013,1700.966
Norway-NO009AN,2014,1712.206
Norway-NO009AN,2015,1723.520
Poland-PL01SAN,1990,539.563
Poland-PL01SAN,1991,539.563
Poland-PL01SAN,1992,539.563
Poland-PL01SAN,1993,539.563
Poland-PL01SAN,1994,539.563
Poland-PL01SAN,1995,539.563
Poland-PL01SAN,1996,539.563
Poland-PL01SAN,1997,539.563
Poland-PL01SAN,1998,539.563
Poland-PL01SAN,1999,539.563
Poland-PL01SAN,2000,539.563
Poland-PL01SAN,2001,539.563
Poland-PL01SAN,2002,539.563
Poland-PL01SAN,2003,539.563
Poland-PL01SAN,2004,539.563
Poland-PL01SAN,2005,539.563
Poland-PL01SAN,2006,539.563
Poland-PL01SAN,2008,539.563
Poland-PL01SAN,2007,539.563
Poland-PL01SAN,2009,539.563
Poland-PL01SAN,2010,539.563
Poland-PL01SAN,2011,540.545
Poland-PL01SAN,2012,541.529
Poland-PL01SAN,2013,542.515
Poland-PL01SAN,2014,543.503
Poland-PL01SAN,2015,544.493
Bolivia-BL01SAN,1990,695.052
Bolivia-BL01SAN,1991,695.052
Bolivia-BL01SAN,1992,695.052
Bolivia-BL01SAN,1993,695.052
Bolivia-BL01SAN,1994,695.052
Bolivia-BL01SAN,1995,695.052
Bolivia-BL01SAN,1996,695.052
Bolivia-BL01SAN,1997,695.052
Bolivia-BL01SAN,1998,695.052
Bolivia-BL01SAN,1999,695.052
Bolivia-BL01SAN,2000,695.052
Bolivia-BL01SAN,2001,695.052
Bolivia-BL01SAN,2002,695.052
Bolivia-BL01SAN,2003,695.052
Bolivia-BL01SAN,2004,695.052
Bolivia-BL01SAN,2005,695.052
Bolivia-BL01SAN,2006,695.052
Bolivia-BL01SAN,2008,695.052
Bolivia-BL01SAN,2007,695.052
Bolivia-BL01SAN,2009,695.052
Bolivia-BL01SAN,2010,695.052
Bolivia-BL01SAN,2011,701.517
Bolivia-BL01SAN,2012,708.128
Bolivia-BL01SAN,2013,714.758
Bolivia-BL01SAN,2014,721.449
Bolivia-BL01SAN,2015,728.204
Bosnia and Herzegovina-BH25SSW,1990,490.825
Bosnia and Herzegovina-BH25SSW,1991,491.334
Bosnia and Herzegovina-BH25SSW,1992,491.845
Bosnia and Herzegovina-BH25SSW,1993,492.356
Bosnia and Herzegovina-BH25SSW,1994,492.867
Bosnia and Herzegovina-BH25SSW,1995,493.379
